feature,importance
unique id_1707163368490x230556050661352000,0.02319336187113189
"preferred_languages_Somali , English",0.023144959356119946
Creator_1670961062596x254064011707049180,0.022785128871737118
related_scheduler_1705956293005x733753504917094400,0.022773456242900256
"age_group_[60, 65)",0.022625051227445667
unique id_1703196355121x586746308699692400,0.02101510727683387
unique id_1705958307843x808903924011845600,0.020959899601579342
"preferred_contact_methods_SMS , WhatsApp",0.020589432012887522
unique id_1707161550616x550420964721384260,0.020586042951361162
unique id_1702492104623x196964371118904420,0.02058167168327872
unique id_1702926845722x562254141487432900,0.0200866769011965
agent_related_1692817605423x553205290319266560,0.020074270740212483
related_scheduler_1705956200512x130621605235130370,0.019498908044183097
"preferred_languages_Arabic , English",0.019212581154481576
related_scheduler_1706045825796x607123197933125600,0.018576796816371078
Creator_1692304070342x621494157260478800,0.01849856878226301
related_scheduler_1707246736103x274339383935762430,0.018239974858646535
unique id_1703103003380x454878477257256960,0.017899206250724185
unique id_1704742831488x952450118180446100,0.01775956034341583
unique id_1703013628381x653260457988028800,0.01756775886030528
unique id_1701110765806x749828013381580400,0.017556997156018838
unique id_1699308365755x717228413187903200,0.01748193345246597
unique id_1694709381985x659244842628154100,0.017398013144249717
unique id_1705948653762x426891080747558100,0.017322564392712653
unique id_1701120901793x154109220645892300,0.017121267354797572
unique id_1722386035298x315297886926739800,0.01691206136421717
"preferred_contact_methods_WhatsApp , SMS , Phone Call",0.016908577438672714
unique id_1706562429720x117938969566825150,0.016898605452144205
unique id_1701111598673x890711603777439600,0.0168229264291144
unique id_1707167908437x740947475126427400,0.01680146006753659
unique id_1701800938213x361557323696172700,0.016612912747978485
unique id_1700590513217x352918764167589060,0.016576511509510318
unique id_1707761037499x349132784912686840,0.016007732678325677
unique id_1705006438046x705478308210380200,0.01583266776563948
unique id_1703017583011x485831676066602800,0.015617462861049867
unique id_1703017787389x614843457937055200,0.015360953010397268
unique id_1706823085136x892368348902301000,0.015001135066491238
unique id_1705956204897x389363377719910800,0.01497933087180921
unique id_1705348482065x256050691808329860,0.014964092634015595
unique id_1706045826669x516364344332440200,0.014888294274735224
related_scheduler_1701800640892x599277316707450900,0.014717104971032093
unique id_1706652002067x908238721215980800,0.014627462033795963
unique id_1722386033915x685155847738926800,0.014603589008789197
related_scheduler_1713289851965x598272106265313300,0.014566519539629187
unique id_1701209277353x471196143272374800,0.014452525845116661
unique id_1722386036236x128295903587491100,0.014294338186022907
unique id_1722386034577x419695757766856960,0.014240952455631466
related_scheduler_1704322494916x952645658168524800,0.014164434279962416
unique id_1706564256251x220349956946749100,0.014155888333636828
unique id_1701209346296x804284967499206900,0.014118460477358439
unique id_1707171162102x809266467158394500,0.014052203115500489
unique id_1704322500456x179311590158928600,0.014050973516109476
unique id_1705434043834x480846207623076860,0.014038494768154023
unique id_1702923373895x826851103012891500,0.013944048591508832
unique id_1705956295635x647485101053954200,0.01389458573212086
unique id_1700170046189x264425834910262850,0.013894455314439622
"preferred_languages_Arabic , French",0.013893125902538741
unique id_1700505636904x576198614423975040,0.013790028280494117
unique id_1702927336593x681399172684673200,0.013728641989109315
related_scheduler_1702408444175x323346977355989000,0.013551990807259323
unique id_1699305544935x922563747432171900,0.013451177547733872
new_client_id_1694706859040x976185037439631400,0.01332482325175821
related_scheduler_1701722511183x747640406968107000,0.013253100865773531
unique id_1704827337960x459768336260726100,0.013122825556212222
unique id_1701377924577x392370429746136600,0.013095201151281193
unique id_1706563633526x716693755212938200,0.012949421965701655
